Portion,Recession,RealEstate,Default
0.5,0,0,0
0.5,1,0,0
0.5,0,0,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.75,0,1,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.75,0,1,0
0.5,0,0,1
0.5,0,0,0
1,0,1,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.75,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,0
0.5,1,0,1
0.5,0,0,1
0.8,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.8,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,1,0,1
1,0,1,0
0.5,0,0,0
0.5,1,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.5,1,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.75,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,0
0.8,0,0,0
1,0,1,0
0.5,1,0,1
0.75,0,1,1
0.5,0,0,1
0.5,1,0,0
0.5,0,0,0
0.5,1,0,1
0.5,0,0,0
0.5,1,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,1,0,1
0.5,0,0,0
