Heights	Fertilizer
90	1
95	1
89	1
75	1
101	1
104	1
82	1
127	1
119	1
110	1
90	1
116	1
116	2
89	2
87	2
104	2
98	2
102	2
94	2
96	2
90	2
86	2
85	2
96	2
106	3
110	3
58	3
96	3
90	3
95	3
115	3
96	3
102	3
90	3
110	3
91	3
94	4
93	4
96	4
125	4
90	4
96	4
120	4
130	4
115	4
111	4
73	4
96	4
109	5
90	5
101	5
107	5
89	5
110	5
71	5
80	5
86	5
97	5
91	5
90	5
116	6
110	6
100	6
116	6
95	6
130	6
90	6
134	6
91	6
107	6
100	6
107	6
80	7
108	7
105	7
95	7
100	7
115	7
130	7
109	7
75	7
125	7
104	7
91	7
95	8
90	8
110	8
125	8
105	8
89	8
105	8
105	8
85	8
85	8
85	8
90	8
98	9
87	9
81	9
126	9
79	9
124	9
116	9
95	9
85	9
90	9
101	9
100	9
101	10
114	10
94	10
85	10
106	10
110	10
110	10
110	10
100	10
105	10
95	10
91	10
